단지명,주소,층,계약년월,전용면적(㎡),건축년도,거래금액(만원),위도,경도
대원,경기도 평택시 팽성읍 송화리 790-1,9,202407,59.97,2002,"17,100",36.9636829,127.0606423
푸르지오1차,경기도 평택시 용이동 471-1,1,202407,154.4633,2009,"57,500",36.9988661,127.1421730
e편한세상평택용이1단지,경기도 평택시 용이동 737,7,202407,84.67,2017,"37,000",37.0021249,127.1441966
태산,경기도 평택시 비전동 813-1,6,202407,59.91,1994,"18,300",36.9984028,127.1065923
지제역더샵센트럴시티,경기도 평택시 지제동 가-,22,202407,84.9206,2022,"76,000",,
우림필유,경기도 평택시 가재동 639,19,202407,84.98,2006,"25,000",37.0403031,127.0842237
우미린센트럴파크,경기도 평택시 비전동 1031,10,202407,84.9797,2016,"40,500",37.0049771,127.1095656
송화지구우미이노스빌,경기도 평택시 팽성읍 송화리 788-1,6,202407,80.9879,2005,"20,500",36.9606600,127.0597574
평택용이금호어울림2단지,경기도 평택시 용이동 601,16,202407,84.9986,2015,"37,500",36.9985820,127.1298660
e편한세상비전센터포레,경기도 평택시 용이동 641,14,202407,74.9966,2022,"45,300",36.9996202,127.1265294
한승아파트,경기도 평택시 진위면 견산리 27-15,3,202407,34.4,2000,"9,400",37.1078327,127.0796372
지제역더샵센트럴시티,경기도 평택시 지제동 가-,24,202407,115.5005,2022,"107,000",,
평택소사벌중흥에스-클래스에코시티,경기도 평택시 죽백동 721,21,202407,84.9939,2017,"40,600",37.0085046,127.1101232
주공3,경기도 평택시 서정동 909-1,1,202407,46.65,1988,"21,000",37.0614442,127.0593238
이충동부영1단지,경기도 평택시 이충동 589-5,4,202407,49.98,1996,"12,100",37.0626486,127.0656819
고덕국제신도시리슈빌레이크파크,경기도 평택시 고덕동 2683-1,10,202407,84.9785,2021,"58,000",37.0364883,127.0353743
소사벌리더스하임,경기도 평택시 비전동 1011,6,202407,84.97,2014,"31,000",37.0057422,127.1064767
평택소사벌푸르지오,경기도 평택시 비전동 970,7,202407,83.97,2019,"38,000",37.0081966,127.1023543
시대한우리,경기도 평택시 비전동 874,3,202407,35.743,1995,"12,000",36.9977571,127.1156873
태산신그린,경기도 평택시 비전동 828-1,17,202407,59.91,1995,"18,500",36.9976024,127.1089390
한라파인빌(구한라공조사원아파트),경기도 평택시 포승읍 석정리 306-5,12,202407,49.94,1993,"7,400",36.9958462,126.8965959
SR친오애,경기도 평택시 포승읍 만호리 646-1,15,202407,78.9582,2004,"17,000",36.9615202,126.8571889
SR친오애,경기도 평택시 포승읍 만호리 646-1,12,202407,78.9582,2004,"16,000",36.9615202,126.8571889
더샵지제역센트럴파크3BL,경기도 평택시 동삭동 941,7,202407,83.7111,2021,"46,200",37.0223463,127.0933108
평택장안마을코오롱하늘채,경기도 평택시 장안동 619,14,202407,84.9448,2013,"32,800",37.0591088,127.0791805
우림필유,경기도 평택시 가재동 639,10,202407,84.98,2006,"25,500",37.0403031,127.0842237
동광,경기도 평택시 칠원동 499,9,202407,84.929,2003,"27,000",37.0321275,127.1022202
