시군명,측정소명,설치년도,측정망명,측정일시각,아황산가스농도값(ppm),일산화탄소농도값(ppm),오존농도값(ppm),이산화질소농도값(ppm),미세먼지PM10농도값(μg/m³),미세먼지PM2.5농도값(μg/m³)
안양시,안양8동,1993,도시대기,2023-09-19 03:00,0.002,0.3,0.022,0.013,20,13
안양시,부림동,1998,도시대기,2023-09-19 03:00,0.003,0.3,0.012,0.014,27,11
안양시,호계동,1992,도시대기,2023-09-19 03:00,0.002,0.3,0.016,0.019,29,14
안양시,안양2동,2004,도시대기,2023-09-19 01:00,0.002,0.4,0.008,0.016,15,11
안양시,호계동,1992,도시대기,2023-09-19 01:00,0.002,0.3,0.015,0.021,16,12
안양시,안양8동,1993,도시대기,2023-09-19 01:00,0.002,0.3,0.032,0.008,19,14
안양시,부림동,1998,도시대기,2023-09-19 01:00,0.003,0.3,0.018,0.014,23,17
안양시,안양8동,1993,도시대기,2023-09-18 24:00,0.002,0.3,0.026,0.013,21,12
안양시,부림동,1998,도시대기,2023-09-18 24:00,0.003,0.3,0.019,0.018,24,11
안양시,호계동,1992,도시대기,2023-09-18 24:00,0.002,0.3,0.012,0.027,20,12
안양시,안양2동,2004,도시대기,2023-09-18 24:00,0.002,0.4,0.005,0.016,20,13
안양시,안양2동,2004,도시대기,2023-09-18 23:00,0.002,0.4,0.006,0.015,19,15
안양시,호계동,1992,도시대기,2023-09-18 23:00,0.002,0.3,0.012,0.028,21,5
안양시,부림동,1998,도시대기,2023-09-18 23:00,0.003,0.3,0.028,0.015,21,16
안양시,안양8동,1993,도시대기,2023-09-18 23:00,0.002,0.3,0.031,0.01,22,10
안양시,안양2동,2004,도시대기,2023-09-18 22:00,0.002,0.4,0.011,0.021,17,13
안양시,호계동,1992,도시대기,2023-09-18 22:00,0.002,0.3,0.025,0.019,20,8
안양시,부림동,1998,도시대기,2023-09-18 22:00,0.003,0.3,0.031,0.015,26,11
안양시,안양8동,1993,도시대기,2023-09-18 22:00,0.002,0.3,0.036,0.009,19,11
